"","model","scenario","ensemble","year","variable","value","ecs","id"
"170","ACCESS-CM2","ssp126","r1i1p1f1",1906,"sst",0.025312632352943,"4.7","very likely"
"171","ACCESS-CM2","ssp126","r1i1p1f1",1906,"land_tas",-0.0311594117647473,"4.7","very likely"
"172","ACCESS-CM2","ssp126","r1i1p1f1",1907,"global_tas",-0.123859033181816,"4.7","very likely"
"173","ACCESS-CM2","ssp126","r1i1p1f1",1907,"sst",-0.022382784313727,"4.7","very likely"
"174","ACCESS-CM2","ssp126","r1i1p1f1",1907,"land_tas",-0.277109411764741,"4.7","very likely"
"175","ACCESS-CM2","ssp126","r1i1p1f1",1908,"global_tas",-0.075947654654783,"4.7","very likely"
"176","ACCESS-CM2","ssp126","r1i1p1f1",1908,"sst",-0.05294486764706,"4.7","very likely"
"177","ACCESS-CM2","ssp126","r1i1p1f1",1908,"land_tas",-0.13431941176475,"4.7","very likely"
"178","ACCESS-CM2","ssp126","r1i1p1f1",1909,"global_tas",-0.156662840807712,"4.7","very likely"
"179","ACCESS-CM2","ssp126","r1i1p1f1",1909,"sst",0.000628132352940167,"4.7","very likely"
"180","ACCESS-CM2","ssp126","r1i1p1f1",1909,"land_tas",-0.31235941176476,"4.7","very likely"
"181","ACCESS-CM2","ssp126","r1i1p1f1",1910,"global_tas",0.0371481740572221,"4.7","very likely"
"182","ACCESS-CM2","ssp126","r1i1p1f1",1910,"sst",0.0667058823529418,"4.7","very likely"
"183","ACCESS-CM2","ssp126","r1i1p1f1",1910,"land_tas",0.0242805882352854,"4.7","very likely"
"184","ACCESS-CM2","ssp126","r1i1p1f1",1911,"global_tas",0.00528301301613965,"4.7","very likely"
"185","ACCESS-CM2","ssp126","r1i1p1f1",1911,"sst",0.0252479656862762,"4.7","very likely"
"186","ACCESS-CM2","ssp126","r1i1p1f1",1911,"land_tas",0.0649005882352753,"4.7","very likely"
"187","ACCESS-CM2","ssp126","r1i1p1f1",1912,"global_tas",-0.237385570571519,"4.7","very likely"
